host,interface,ip
xweb01,eth0,168.144.248.193
xweb01,eth0:0,168.144.248.194
xweb01,eth0:1,168.144.248.195
xweb01,eth0:2,168.144.248.196
xweb01,eth0:3,168.144.248.197
xweb01,eth0:4,168.144.248.198
xweb01,eth0:5,168.144.248.199
xweb01,eth0:6,168.144.248.200
xweb01,eth0:7,168.144.248.201
xweb01,eth0:8,168.144.248.202
xweb01,eth0:9,168.144.248.203
xweb01,eth0:10,168.144.248.204
xweb01,eth0:11,168.144.248.205
xweb01,eth0:12,168.144.248.206
xweb01,eth0:13,168.144.248.207
xweb01,eth0:14,168.144.248.208
xweb01,eth0:15,168.144.248.209
xweb01,eth0:16,168.144.248.210
xweb01,eth0:17,168.144.248.211
xweb01,eth0:18,168.144.248.212
xweb01,eth0:19,168.144.248.213
xweb01,eth0:20,168.144.248.214
xweb01,eth0:21,168.144.248.215
xweb01,eth0:22,168.144.248.216
xweb01,eth0:23,168.144.248.217
xweb01,eth0:24,168.144.248.218
xweb01,eth0:25,168.144.248.219
xweb01,eth0:26,168.144.248.220
xweb01,eth0:27,168.144.248.221
xweb01,eth0:28,168.144.248.222
xweb02,eth0,168.144.248.161
xweb02,eth0:0,168.144.248.162
xweb02,eth0:1,168.144.248.163
xweb02,eth0:2,168.144.248.164
xweb02,eth0:3,168.144.248.165
xweb02,eth0:4,168.144.248.166
xweb02,eth0:5,168.144.248.167
xweb02,eth0:6,168.144.248.168
xweb02,eth0:7,168.144.248.169
xweb02,eth0:8,168.144.248.170
xweb02,eth0:9,168.144.248.171
xweb02,eth0:10,168.144.248.172
xweb02,eth0:11,168.144.248.173
xweb02,eth0:12,168.144.248.174
xweb02,eth0:13,168.144.248.175
xweb02,eth0:14,168.144.248.176
xweb02,eth0:15,168.144.248.177
xweb02,eth0:16,168.144.248.178
xweb02,eth0:17,168.144.248.179
xweb02,eth0:18,168.144.248.180
xweb02,eth0:19,168.144.248.181
xweb02,eth0:20,168.144.248.182
xweb02,eth0:21,168.144.248.183
xweb02,eth0:22,168.144.248.184
xweb02,eth0:23,168.144.248.185
xweb02,eth0:24,168.144.248.186
xweb02,eth0:25,168.144.248.187
xweb02,eth0:26,168.144.248.188
xweb02,eth0:27,168.144.248.189
xweb02,eth0:28,168.144.248.190
xweb03,eth0,168.144.248.129
xweb03,eth0:0,168.144.248.130
xweb03,eth0:1,168.144.248.131
xweb03,eth0:2,168.144.248.132
xweb03,eth0:3,168.144.248.133
xweb03,eth0:4,168.144.248.134
xweb03,eth0:5,168.144.248.135
xweb03,eth0:6,168.144.248.136
xweb03,eth0:7,168.144.248.137
xweb03,eth0:8,168.144.248.138
xweb03,eth0:9,168.144.248.139
xweb03,eth0:10,168.144.248.140
xweb03,eth0:11,168.144.248.141
xweb03,eth0:12,168.144.248.142
xweb03,eth0:13,168.144.248.143
xweb03,eth0:14,168.144.248.144
xweb03,eth0:15,168.144.248.145
xweb03,eth0:16,168.144.248.146
xweb03,eth0:17,168.144.248.147
xweb03,eth0:18,168.144.248.148
xweb03,eth0:19,168.144.248.149
xweb03,eth0:20,168.144.248.150
xweb03,eth0:21,168.144.248.151
xweb03,eth0:22,168.144.248.152
xweb03,eth0:23,168.144.248.153
xweb03,eth0:24,168.144.248.154
xweb03,eth0:25,168.144.248.155
xweb03,eth0:26,168.144.248.156
xweb03,eth0:27,168.144.248.157
xweb03,eth0:28,168.144.248.158
